st,original,sample
6.0,370184,23192
48.0,278645,17457
12.0,206236,12921
36.0,190495,11934
42.0,124627,7808
17.0,122937,7702
39.0,115029,7206
13.0,103173,6464
37.0,102120,6398
26.0,96612,6052
34.0,89346,5597
51.0,83668,5242
53.0,76739,4807
4.0,70390,4410
47.0,69168,4333
25.0,67926,4255
18.0,66527,4168
29.0,60691,3802
24.0,59673,3738
55.0,58463,3662
8.0,57051,3574
27.0,55825,3497
45.0,51448,3223
1.0,48444,3035
21.0,44361,2779
22.0,42818,2682
41.0,41294,2587
40.0,36795,2305
9.0,34611,2168
49.0,34042,2132
19.0,31391,1966
32.0,30231,1894
5.0,29350,1838
20.0,28234,1768
28.0,27979,1752
35.0,19206,1203
31.0,19057,1193
16.0,18771,1176
54.0,17207,1078
15.0,14189,888
23.0,13389,838
33.0,13311,833
30.0,10558,661
44.0,9627,603
10.0,9336,584
46.0,8741,547
38.0,7668,480
2.0,6366,398
50.0,6341,397
11.0,6149,385
56.0,5769,361
